locusId	sysName	type	scaffoldId	begin	end	strand	original_name	desc	name	Product	ecocyc_id
ECD_00055	ECD_00055	1	CP001509	55805	56626	-		16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent	rsmA	16S rRNA (A<sup>1518</sup>/A<sup>1519</sup>-<em>N</em><sup>6</sup>-dimethyltransferase	ECD_RS00285
ECD_00056	ECD_00056	1	CP001509	56623	57612	-		4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase	ECD_RS00290
ECD_00057	ECD_00057	1	CP001509	57612	58898	-		peptidyl-prolyl cis-trans isomerase (PPIase)	surA	chaperone SurA	ECD_RS00295
ECD_00058	ECD_00058	1	CP001509	58951	61305	-		LPS assembly OM complex LptDE, beta-barrel component	lptD	lipopolysaccharide assembly protein LptD	ECD_RS00300
ECD_00059	ECD_00059	1	CP001509	61560	62375	+		membrane-anchored DnaK co-chaperone, DNA-binding protein	djlA	co-chaperone protein DjlA	ECD_RS00305
ECD_00060	ECD_00060	1	CP001509	62492	63151	-		dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent	rluA	23S rRNA pseudouridine<sup>746</sup> and tRNA pseudouridine<sup>32</sup> synthase	ECD_RS00310
ECD_00061	ECD_00061	1	CP001509	63163	66069	-		RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase	rapA	RNA polymerase-binding ATPase and RNAP recycling factor	ECD_RS00315
ECD_00062	ECD_00062	1	CP001509	66234	68585	-		DNA polymerase II	polB	DNA polymerase II	ECD_RS00320
ECD_00063	ECD_00063	1	CP001509	68660	69355	-		L-ribulose-5-phosphate 4-epimerase	araD	L-ribulose-5-phosphate 4-epimerase AraD	ECD_RS00325
ECD_00064	ECD_00064	1	CP001509	69640	71142	-		L-arabinose isomerase	araA	L-arabinose isomerase	ECD_RS00330
ECD_00065	ECD_00065	1	CP001509	71153	72853	-		L-ribulokinase	araB	ribulokinase	ECD_RS00335
ECD_00066	ECD_00066	1	CP001509	73192	74070	+		ara regulon transcriptional activator; autorepressor	araC	AraC	ECD_RS00340
ECD_00067	ECD_00067	1	CP001509	74156	74920	+		DedA family inner membrane protein	yabI	DedA family protein YabI	ECD_RS00345
ECD_00068	ECD_00068	1	CP001509	75034	75732	-		thiamine/thiamine pyrophosphate ABC transporter ATPase	thiQ	thiamine ABC transporter ATP binding subunit	ECD_RS00350
ECD_00069	ECD_00069	1	CP001509	75716	77326	-		thiamine/thiamine pyrophosphate ABC transporter permease	thiP	thiamine ABC transporter membrane subunit	ECD_RS00355
ECD_00070	ECD_00070	1	CP001509	77302	78285	-		thiamine/thiamine pyrophosphate/thiamine monophosphate ABC transporter periplasmic binding protein	thiB	thiamine ABC transporter periplasmic binding protein	ECD_RS00360
ECD_00071	ECD_00071	1	CP001509	78449	80104	-		transcriptional DNA-binding transcriptional activator of sgrS sRNA	sgrR	DNA-binding transcriptional dual regulator SgrR	ECD_RS00365
ECD_04293	ECD_04293	1	CP001509	80193	80324	+		inhibitor of glucose uptake			
ECD_00072	ECD_00072	1	CP001509	80426	81604	+		broad specificity sugar efflux system	setA	sugar exporter SetA	ECD_RS00375
ECD_00073	ECD_00073	1	CP001509	81653	82258	-		3-isopropylmalate dehydratase small subunit	leuD	3-isopropylmalate dehydratase subunit LeuD	ECD_RS00380
ECD_00074	ECD_00074	1	CP001509	82269	83669	-		3-isopropylmalate dehydratase large subunit	leuC	3-isopropylmalate dehydratase subunit LeuC	ECD_RS00385
ECD_00075	ECD_00075	1	CP001509	83672	84763	-		3-isopropylmalate dehydrogenase, NAD(+)-dependent	leuB	3-isopropylmalate dehydrogenase	ECD_RS00390
ECD_00076	ECD_00076	1	CP001509	84763	86334	-		2-isopropylmalate synthase	leuA	2-isopropylmalate synthase	ECD_RS00395
ECD_00077	ECD_00077	1	CP001509	86427	86513	-		leu operon leader peptide	leuL	<i>leu</i> operon leader peptide	ECD_RS00400
ECD_00078	ECD_00078	1	CP001509	87173	88117	+		global transcription factor	leuO	DNA-binding transcriptional dual regulator LeuO	ECD_RS00405
ECD_00079	ECD_00079	1	CP001509	88435	90159	+		acetolactate synthase 3 large subunit	ilvI	acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit	ECD_RS00410
ECD_00080	ECD_00080	1	CP001509	90162	90653	+		acetolactate synthase 3, small subunit, valine-sensitive	ilvH	acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit	ECD_RS00415
ECD_00081	ECD_00081	1	CP001509	90833	91837	+		transcriptional repressor-activator for carbon metabolism	cra	DNA-binding transcriptional dual regulator Cra	ECD_RS00425
ECD_00082	ECD_00082	1	CP001509	92439	92897	+		RsmH methytransferase inhibitor	mraZ	DNA-binding transcriptional repressor MraZ	ECD_RS00430
ECD_00083	ECD_00083	1	CP001509	92899	93840	+		16S rRNA m(4)C1402 methyltransferase, SAM-dependent	rsmH	16S rRNA m<sup>4</sup>C1402 methyltransferase	ECD_RS00435
ECD_00084	ECD_00084	1	CP001509	93837	94202	+		membrane bound cell division leucine zipper septum protein	ftsL	cell division protein FtsL	ECD_RS00440
ECD_00085	ECD_00085	1	CP001509	94218	95984	+		transpeptidase involved in septal peptidoglycan synthesis; penicillin-binding protein 3	ftsI	peptidoglycan DD-transpeptidase FtsI	ECD_RS00445
ECD_00086	ECD_00086	1	CP001509	95971	97458	+		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	ECD_RS00450
ECD_00087	ECD_00087	1	CP001509	97455	98813	+		UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase	murF	UDP-<i>N</i>-acetylmuramoyl-tripeptide&mdash;D-alanyl-D-alanine ligase	ECD_RS00455
ECD_00088	ECD_00088	1	CP001509	98807	99889	+		phospho-N-acetylmuramoyl-pentapeptide transferase	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase	ECD_RS00460
ECD_00089	ECD_00089	1	CP001509	99892	101208	+		UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	murD	UDP-<i>N</i>-acetylmuramoyl-L-alanine&mdash;D-glutamate ligase	ECD_RS00465
ECD_00090	ECD_00090	1	CP001509	101208	102452	+		putative lipid II flippase; integral membrane protein; FtsZ ring stabilizer	ftsW	peptidoglycan glycosyltransferase FtsW	ECD_RS00470
ECD_00091	ECD_00091	1	CP001509	102449	103516	+		N-acetylglucosaminyl transferase	murG	N-acetylglucosaminyl transferase	ECD_RS00475
ECD_00092	ECD_00092	1	CP001509	103570	105045	+		UDP-N-acetylmuramate:L-alanine ligase	murC	UDP-<i>N</i>-acetylmuramate&mdash;L-alanine ligase	ECD_RS00480
ECD_00093	ECD_00093	1	CP001509	105038	105958	+		D-alanine:D-alanine ligase	ddlB	D-alanine&mdash;D-alanine ligase B	ECD_RS00485
ECD_00094	ECD_00094	1	CP001509	105960	106790	+		divisome assembly protein, membrane anchored protein involved in growth of wall at septum	ftsQ	cell division protein FtsQ	ECD_RS00490
ECD_00095	ECD_00095	1	CP001509	106787	108049	+		ATP-binding cell division FtsK recruitment protein	ftsA	cell division protein FtsA	ECD_RS00495
ECD_00096	ECD_00096	1	CP001509	108110	109261	+		GTP-binding tubulin-like cell division protein	ftsZ	cell division protein FtsZ	ECD_RS00500
ECD_00097	ECD_00097	1	CP001509	109362	110279	+		UDP-3-O-acyl N-acetylglucosamine deacetylase	lpxC	UDP-3-O-acyl-N-acetylglucosamine deacetylase	ECD_RS00505
ECD_00098	ECD_00098	1	CP001509	110510	111022	+		regulator of secA translation	secM	SecA translation regulator	ECD_RS00510
ECD_00099	ECD_00099	1	CP001509	111084	113789	+		preprotein translocase subunit, ATPase	secA	protein translocation ATPase	ECD_RS00515
ECD_00100	ECD_00100	1	CP001509	113849	114238	+		dGTP-preferring nucleoside triphosphate pyrophosphohydrolase	mutT	8-oxo-dGTP diphosphatase	ECD_RS00520
ECD_00101	ECD_00101	1	CP001509	114454	114651	-		DNA gyrase inhibitor	yacG	DNA gyrase inhibitor YacG	ECD_RS00530
ECD_00102	ECD_00102	1	CP001509	114661	115404	-		FtsZ stabilizer	zapD	cell division factor ZapD	ECD_RS00535
ECD_00103	ECD_00103	1	CP001509	115404	116024	-		dephospho-CoA kinase	coaE	dephospho-CoA kinase	ECD_RS00540
ECD_00104	ECD_00104	1	CP001509	116249	117292	+		GMP reductase	guaC	GMP reductase	ECD_RS00545
ECD_00105	ECD_00105	1	CP001509	117327	118529	-		assembly protein in type IV pilin biogenesis, transmembrane protein	hofC	inner membrane protein HofC	ECD_RS00550
ECD_00106	ECD_00106	1	CP001509	118519	119904	-		T2SE secretion family protein; P-loop ATPase superfamily protein	hofB	T2SSE family protein	ECD_RS00555
ECD_00107	ECD_00107	1	CP001509	119914	120354	-		putative prepilin peptidase-dependent pilin	RS00560	prepilin peptidase-dependent protein D	ECD_RS00560
ECD_00108	ECD_00108	1	CP001509	120557	121450	-		quinolinate phosphoribosyltransferase	nadC	quinolinate phosphoribosyltransferase (decarboxylating)	ECD_RS00570
ECD_00109	ECD_00109	1	CP001509	121538	122089	+		1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	ampD	1,6-anhydro-<i>N</i>-acetylmuramoyl-L-alanine amidase	ECD_RS00575
ECD_00110	ECD_00110	1	CP001509	122086	122940	+		ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation	ampE	protein AmpE	ECD_RS00580
ECD_00111	ECD_00111	1	CP001509	122983	124356	-		aromatic amino acid transporter	aroP	aromatic amino acid:H<sup>+</sup> symporter AroP	ECD_RS00585
ECD_00112	ECD_00112	1	CP001509	124897	125661	+		pyruvate dehydrogenase complex repressor; autorepressor	pdhR	DNA-binding transcriptional dual regulator PdhR	ECD_RS00590
ECD_00113	ECD_00113	1	CP001509	125822	128485	+		pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	aceE	pyruvate dehydrogenase E1 component	ECD_RS00595
ECD_00114	ECD_00114	1	CP001509	128500	130392	+		pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	aceF	pyruvate dehydrogenase E2 subunit	ECD_RS00600
ECD_00115	ECD_00115	1	CP001509	130717	132141	+		dihydrolipoyl dehydrogenase; E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes; glycine cleavage system L protein; dihydrolipoamide dehydrogenase	lpd	lipoamide dehydrogenase	ECD_RS00605
ECD_00116	ECD_00116	1	CP001509	132212	134065	-		DUF3300 family protein	yacH	DUF3300 domain-containing protein YacH	ECD_RS00610
ECD_00117	ECD_00117	1	CP001509	134420	137017	+		aconitate hydratase 2; aconitase B; 2-methyl-cis-aconitate hydratase	acnB	AcnB	ECD_RS00615
ECD_00118	ECD_00118	1	CP001509	137192	137554	+		UPF0231 family protein	yacL	PF06062 family protein YacL	ECD_RS00620
ECD_00119	ECD_00119	1	CP001509	137592	138386	-		S-adenosylmethionine decarboxylase	speD	<i>S</i>-adenosylmethionine decarboxylase proenzyme	ECD_RS00625
ECD_00120	ECD_00120	1	CP001509	138402	139268	-		spermidine synthase (putrescine aminopropyltransferase)	speE	spermidine synthase	ECD_RS00630
ECD_00121	ECD_00121	1	CP001509	139374	139721	-		PulS_OutS family protein	yacC	putative lipoprotein YacC	ECD_RS00635
ECD_00122	ECD_00122	1	CP001509	139887	141437	+		multicopper oxidase (laccase)	cueO	multicopper oxidase CueO	ECD_RS00640
ECD_00123	ECD_00123	1	CP001509	141639	144029	-		glucose dehydrogenase	gcd	quinoprotein glucose dehydrogenase	ECD_RS00645
ECD_00124	ECD_00124	1	CP001509	144235	144771	+		hypoxanthine phosphoribosyltransferase	hpt	hypoxanthine phosphoribosyltransferase	ECD_RS00650
ECD_00125	ECD_00125	1	CP001509	144812	145474	-		carbonic anhydrase	can	carbonic anhydrase 2	ECD_RS00655
ECD_00126	ECD_00126	1	CP001509	145583	146509	+		putative ABC transporter ATPase	yadG	putative ABC transporter ATP-binding protein YadG	ECD_RS00660
ECD_00127	ECD_00127	1	CP001509	146506	147276	+		putative ABC transporter permease	yadH	putative ABC transporter membrane subunit YadH	ECD_RS00665
ECD_00128	ECD_00128	1	CP001509	147381	147821	+		putative PTS Enzyme IIA	RS00670	PTS sugar transporter subunit IIA	ECD_RS00670
ECD_00129	ECD_00129	1	CP001509	147885	149114	+		putative polysaccharide deacetylase lipoprotein	yadE	putative polysaccharide deacetylase lipoprotein YadE	ECD_RS00675
ECD_00130	ECD_00130	1	CP001509	149118	149498	-		aspartate 1-decarboxylase	panD	aspartate 1-decarboxylase proenzyme	ECD_RS00680
ECD_00131	ECD_00131	1	CP001509	149772	150674	+		transposase_31 family protein	rpnC	recombination-promoting nuclease RpnC	ECD_RS00685
ECD_00132	ECD_00132	1	CP001509	150748	151599	-		pantothenate synthetase	panC	pantothenate synthetase	ECD_RS00690
ECD_00133	ECD_00133	1	CP001509	151611	152405	-		3-methyl-2-oxobutanoate hydroxymethyltransferase	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	ECD_RS00695
ECD_00134	ECD_00134	1	CP001509	152518	153864	-		putative fimbrial-like adhesin protein	yadC	fimbrial tip-adhesin YadC	ECD_RS00700
ECD_00135	ECD_00135	1	CP001509	153845	154441	-		putative fimbrial-like adhesin protein	yadK	putative fimbrial protein YadK	ECD_RS00705
ECD_00136	ECD_00136	1	CP001509	154468	155070	-		putative fimbrial-like adhesin protein	yadL	putative fimbrial protein YadL	ECD_RS00710
ECD_00137	ECD_00137	1	CP001509	155085	155654	-		putative fimbrial-like adhesin protein	yadM	putative fimbrial protein YadM	ECD_RS00715
ECD_00138	ECD_00138	1	CP001509	155671	158271	-		putative outer membrane usher protein	htrE	putative fimbrial usher protein HtrE	ECD_RS00720
ECD_00139	ECD_00139	1	CP001509	158306	159046	-		putative periplasmic pilin chaperone	yadV	putative fimbrial chaperone YadV	ECD_RS00725
ECD_00140	ECD_00140	1	CP001509	159151	159735	-		putative fimbrial-like adhesin protein	yadN	putative fimbrial protein YadN	ECD_RS00730
ECD_00141	ECD_00141	1	CP001509	160105	160584	-		2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	ECD_RS00735
ECD_00142	ECD_00142	1	CP001509	160581	161945	-		poly(A) polymerase	pcnB	poly(A) polymerase I	ECD_RS00740
ECD_00143	ECD_00143	1	CP001509	162038	162964	-		glutamyl-Q tRNA(Asp) synthetase	gluQ	glutamyl-Q tRNA<sup>Asp</sup> synthetase	ECD_RS00745
ECD_00144	ECD_00144	1	CP001509	163001	163456	-		transcriptional regulator of rRNA transcription; DnaK suppressor protein	dksA	RNA polymerase-binding transcription factor DksA	ECD_RS00750
ECD_00145	ECD_00145	1	CP001509	163634	164338	-		sugar fermentation stimulation protein A	sfsA	sugar fermentation stimulation protein A	ECD_RS00755
ECD_00146	ECD_00146	1	CP001509	164353	164883	-		2'-5' RNA ligase	thpR	RNA 2',3'-cyclic phosphodiesterase	ECD_RS00760
ECD_00147	ECD_00147	1	CP001509	164957	167386	+		putative ATP-dependent helicase	hrpB	RNA-dependent NTPase HrpB	ECD_RS00765
ECD_00148	ECD_00148	1	CP001509	167582	170107	+		fused glycosyl transferase and transpeptidase	mrcB	PBP1B&gamma;	ECD_RS00775
ECD_00149	ECD_00149	1	CP001509	170327	172570	+		ferrichrome outer membrane transporter	fhuA	ferrichrome outer membrane transporter/phage receptor	ECD_RS00780
ECD_00150	ECD_00150	1	CP001509	172621	173418	+		iron(3+)-hydroxamate import ABC transporter ATPase	fhuC	iron(III) hydroxamate ABC transporter ATP binding subunit	ECD_RS00785
ECD_00151	ECD_00151	1	CP001509	173418	174308	+		iron(3+)-hydroxamate import ABC transporter periplasmic binding protein	fhuD	iron(III) hydroxamate ABC transporter periplasmic binding protein	ECD_RS00790
ECD_00152	ECD_00152	1	CP001509	174305	176287	+		iron(3+)-hydroxamate import ABC transporter permease	fhuB	iron(III) hydroxamate ABC transporter membrane subunit	ECD_RS00795
ECD_00153	ECD_00153	1	CP001509	176445	177725	-		glutamate-1-semialdehyde aminotransferase (aminomutase)	hemL	glutamate-1-semialdehyde 2,1-aminomutase	ECD_RS00800
ECD_00154	ECD_00154	1	CP001509	177950	179371	+		H(+)/Cl(-) exchange transporter	clcA	chloride:H<sup>+</sup> antiporter ClcA	ECD_RS00805
ECD_00155	ECD_00155	1	CP001509	179453	179797	+		iron-sulfur cluster insertion protein	erpA	iron-sulfur cluster insertion protein ErpA	ECD_RS00810
ECD_00156	ECD_00156	1	CP001509	179844	180467	-		UPF0126 family inner membrane protein	yadS	PF03458 family protein YadS	ECD_RS00815
ECD_00157	ECD_00157	1	CP001509	180505	181305	-		vitamin B12 ABC transporter periplasmic binding protein	btuF	vitamin B<sub>12</sub> ABC transporter periplasmic binding protein	ECD_RS00820
ECD_00158	ECD_00158	1	CP001509	181298	181996	-		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	mtn	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	ECD_RS00825
ECD_00159	ECD_00159	1	CP001509	182080	183597	+		deoxyguanosine triphosphate triphosphohydrolase	dgt	dGTP triphosphohydrolase	ECD_RS00830
ECD_00160	ECD_00160	1	CP001509	183727	185151	+		serine endoprotease (protease Do), membrane-associated	degP	periplasmic serine endoprotease DegP	ECD_RS00835
ECD_00161	ECD_00161	1	CP001509	185306	186463	+		carbohydrate diacid regulon transcriptional regulator; autoregulator	cdaR	DNA-binding transcriptional activator CdaR	ECD_RS00840
ECD_00162	ECD_00162	1	CP001509	186552	186938	-		UPF0325 family protein	yaeH	DUF3461 domain-containing protein YaeH	ECD_RS00845
ECD_00163	ECD_00163	1	CP001509	187100	187912	-		phosphodiesterase with model substrate bis-pNPP	yaeI	phosphodiesterase YaeI	ECD_RS00850
ECD_00164	ECD_00164	1	CP001509	187966	188790	-		2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	dapD	tetrahydrodipicolinate succinylase	ECD_RS00855
ECD_00165	ECD_00165	1	CP001509	188821	191493	-		uridylyltransferase	glnD	protein-PII uridylyltransferase/uridylyl-removing enzyme	ECD_RS00860
ECD_00166	ECD_00166	1	CP001509	191555	192349	-		methionine aminopeptidase	map	methionine aminopeptidase	ECD_RS00865
ECD_00167	ECD_00167	1	CP001509	192717	193442	+		30S ribosomal subunit protein S2	RS00870	30S ribosomal protein S2	ECD_RS00870
ECD_00168	ECD_00168	1	CP001509	193700	194551	+		translation elongation factor EF-Ts	tsf	protein chain elongation factor EF-Ts	ECD_RS00875
ECD_00169	ECD_00169	1	CP001509	194698	195423	+		uridylate kinase	pyrH	UMP kinase	ECD_RS00880
ECD_00170	ECD_00170	1	CP001509	195715	196272	+		ribosome recycling factor	frr	ribosome-recycling factor	ECD_RS00885
ECD_00171	ECD_00171	1	CP001509	196364	197560	+		1-deoxy-D-xylulose 5-phosphate reductoisomerase	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	ECD_RS00890
ECD_00172	ECD_00172	1	CP001509	197746	198507	+		undecaprenyl pyrophosphate synthase	ispU	<i>ditrans,polycis</i>-undecaprenyl-diphosphate synthase [(2<i>E</i>,6<i>E</i>)-farnesyl-diphosphate specific]	ECD_RS00895
ECD_00173	ECD_00173	1	CP001509	198520	199377	+		CDP-diglyceride synthase	cdsA	CDP-diglyceride synthetase	ECD_RS00900
ECD_00174	ECD_00174	1	CP001509	199389	200741	+		inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA; cleaved signal peptide endoprotease	rseP	intramembrane zinc metalloprotease RseP	ECD_RS00905
ECD_00175	ECD_00175	1	CP001509	200771	203203	+		BamABCDE complex OM biogenesis outer membrane pore-forming assembly factor	bamA	outer membrane protein assembly factor BamA	ECD_RS00910
