locusId	scaffoldId	begin	end	strand	original_name	gene_type	rbtnseq_ref_locusId	product	sysName	name	desc	ecocyc_id
BW25113_0025	CP009273.1	21407	22348	+	ribF	CDS	14170	bifunctional riboflavin kinase/FAD synthetase	b0025	ribF	hypothetical protein (NCBI)	EG11079
BW25113_0026	CP009273.1	22391	25207	+	ileS	CDS	14171	isoleucyl-tRNA synthetase	b0026	ileS	isoleucyl-tRNA synthetase (NCBI)	EG10492
BW25113_0027	CP009273.1	25207	25701	+	lspA	CDS	14172	prolipoprotein signal peptidase (signal peptidase II)	b0027	lspA	signal peptidase II (NCBI)	EG10548
BW25113_0028	CP009273.1	25826	26275	+	fkpB	CDS	14173	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	b0028	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase) (NCBI)	EG11080
BW25113_0029	CP009273.1	26277	27227	+	ispH	CDS	14174	4-hydroxy-3-methylbut-2-enyl diphosphate reductase%2C 4Fe-4S protein	b0029	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (NCBI)	EG11081
BW25113_0030	CP009273.1	27293	28207	+	rihC	CDS	14175	ribonucleoside hydrolase 3	b0030	rihC	ribonucleoside hydrolase 3 (NCBI)	EG11082
BW25113_0031	CP009273.1	28374	29195	+	dapB	CDS	14176	dihydrodipicolinate reductase	b0031	dapB	dihydrodipicolinate reductase (NCBI)	EG10206
BW25113_0032	CP009273.1	29651	30799	+	carA	CDS	14177	carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase	b0032	carA	carbamoyl-phosphate synthase small subunit (NCBI)	EG10134
BW25113_0033	CP009273.1	30817	34038	+	carB	CDS	14178	carbamoyl-phosphate synthase large subunit	b0033	carB	carbamoyl-phosphate synthase large subunit (NCBI)	EG10135
BW25113_0034	CP009273.1	34300	34695	+	caiF	CDS	14180	cai operon transcriptional activator	b0034	caiF	transcriptional regulator of cai operon (VIMSS)	G6088
BW25113_0035	CP009273.1	34781	35371	-	caiE	CDS	14181	stimulator of CaiD and CaiB enzyme activities	b0035	caiE	possible synthesis of cofactor for carnitine racemase and dehydratase (VIMSS)	EG12608
BW25113_0036	CP009273.1	35377	36162	-	caiD	CDS	14182	carnitinyl-CoA dehydratase	b0036	caiD	crotonobetainyl CoA hydratase (RefSeq)	EG11557
BW25113_0037	CP009273.1	36271	37824	-	caiC	CDS	14183	putative crotonobetaine/carnitine-CoA ligase	b0037	caiC	predicted crotonobetaine CoA ligase:carnitine CoA ligase (RefSeq)	EG11558
BW25113_0038	CP009273.1	37898	39115	-	caiB	CDS	14184	crotonobetainyl CoA:carnitine CoA transferase	b0038	caiB	crotonobetainyl-CoA:carnitineCoA-transferase (NCBI)	EG11559
BW25113_0039	CP009273.1	39244	40386	-	caiA	CDS	14185	crotonobetaine reductase subunit II%2C FAD-binding	b0039	caiA	crotonobetaine reductase subunit II, FAD-binding (NCBI)	EG11560
BW25113_0040	CP009273.1	40417	41931	-	caiT	CDS	14186	putative transporter	b0040	caiT	L-carnitine/gamma-butyrobetaine antiporter (NCBI)	EG11561
BW25113_0041	CP009273.1	42403	43173	+	fixA	CDS	14187	anaerobic carnitine reduction putative electron transfer flavoprotein subunit	b0041	fixA	probable flavoprotein subunit, carnitine metabolism (VIMSS)	EG11562
BW25113_0042	CP009273.1	43188	44129	+	fixB	CDS	14188	putative electron transfer flavoprotein%2C NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	b0042	fixB	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like (NCBI)	EG11563
BW25113_0043	CP009273.1	44180	45466	+	fixC	CDS	14189	putative oxidoreductase	b0043	fixC	predicted oxidoreductase with FAD/NAD(P)-binding domain (NCBI)	EG11564
BW25113_0044	CP009273.1	45463	45750	+	fixX	CDS	14190	putative 4Fe-4S ferredoxin-type protein	b0044	fixX	predicted 4Fe-4S ferredoxin-type protein (NCBI)	EG11565
BW25113_0045	CP009273.1	45807	47138	+	yaaU	CDS	14191	putative transporter	b0045	yaaU	predicted transporter (NCBI)	EG11566
BW25113_0046	CP009273.1	47246	47776	+	kefF	CDS	14192	potassium-efflux system ancillary protein for KefC%2C glutathione-regulated%3B quinone oxidoreductase%2C FMN-dependent	b0046	kefF	glutathione-regulated potassium-efflux system ancillary protein (NCBI)	EG11568
BW25113_0047	CP009273.1	47769	49631	+	kefC	CDS	14193	potassium:proton antiporter	b0047	kefC	glutathione-regulated potassium-efflux system protein (NCBI)	EG10521
BW25113_0048	CP009273.1	49823	50302	+	folA	CDS	14194	dihydrofolate reductase	b0048	folA	dihydrofolate reductase (NCBI)	EG10326
BW25113_0049	CP009273.1	50380	51222	-	apaH	CDS	14195	diadenosine tetraphosphatase	b0049	apaH	diadenosinetetraphosphatase (NCBI)	EG10048
BW25113_0050	CP009273.1	51229	51606	-	apaG	CDS	14196	protein associated with Co2+ and Mg2+ efflux	b0050	apaG	hypothetical protein (NCBI)	EG10047
BW25113_0051	CP009273.1	51609	52430	-	rsmA	CDS	14197	16S rRNA m(6)A1518%2C m(6)A1519 dimethyltransferase%2C SAM-dependent	b0051	rsmA	dimethyladenosine transferase (NCBI)	EG10523
BW25113_0052	CP009273.1	52427	53416	-	pdxA	CDS	14198	4-hydroxy-L-threonine phosphate dehydrogenase%2C NAD-dependent	b0052	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase (NCBI)	EG10691
BW25113_0053	CP009273.1	53416	54702	-	surA	CDS	14199	peptidyl-prolyl cis-trans isomerase (PPIase)	b0053	surA	peptidyl-prolyl cis-trans isomerase (PPIase) (NCBI)	EG10985
BW25113_0054	CP009273.1	54755	57109	-	lptD	CDS	14200	LPS assembly OM complex LptDE%2C beta-barrel component	b0054	lptD	organic solvent tolerance protein precursor (NCBI)	EG11569
BW25113_0055	CP009273.1	57364	58179	+	djlA	CDS	14201	membrane-anchored DnaK co-chaperone%2C DNA-binding protein	b0055	djlA	Dna-J like membrane chaperone protein (NCBI)	EG11570
BW25113_4659	CP009273.1	58474	59052	+	yabP	CDS				yabP		
BW25113_0058	CP009273.1	59687	60346	-	rluA	CDS	14204	dual specificity 23S rRNA pseudouridine(746)%2C tRNA pseudouridine(32) synthase%2C SAM-dependent	b0058	rluA	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32) (NCBI)	EG12609
BW25113_0059	CP009273.1	60358	63264	-	rapA	CDS	14205	RNA polymerase remodeling/recycling factor ATPase%3B RNA polymerase-associated%2C ATP-dependent RNA translocase	b0059	rapA	ATP-dependent helicase HepA (NCBI)	EG11083
BW25113_0060	CP009273.1	63429	65780	-	polB	CDS	14206	DNA polymerase II	b0060	polB	DNA polymerase II (NCBI)	EG10747
BW25113_0061	CP009273.1	65855	66532	-	araD	CDS	14207		b0061	araD	L-ribulose-5-phosphate 4-epimerase (NCBI)	EG10055
BW25113_0064	CP009273.1	66874	67752	+	araC	CDS	14210	ara regulon transcriptional activator%3B autorepressor	b0064	araC	DNA-binding transcriptional dual regulator (NCBI)	EG10054
BW25113_0065	CP009273.1	67838	68602	+	yabI	CDS	14211	DedA family inner membrane protein	b0065	yabI	conserved inner membrane protein (NCBI)	EG11571
BW25113_0066	CP009273.1	68716	69414	-	thiQ	CDS	14212	thiamine%2C thiamine pyrophosphate ABC transporter ATPase%3B ThiBPQ thiamine%2C thiamine pyrophosphate importer	b0066	thiQ	thiamin transporter subunit (NCBI)	EG11572
BW25113_0067	CP009273.1	69398	71008	-	thiP	CDS	14213	thiamine%2C thiamine pyrophosphate ABC transporter permease%3B ThiBPQ thiamine%2C thiamine pyrophosphate importer	b0067	thiP	thiamin ABC transporter membrane protein (NCBI)	EG11573
BW25113_0068	CP009273.1	70984	71967	-	thiB	CDS	14214	thiamine-%2C thiamine pyrophosphate-%2C thiamine monophosphate-binding ABC transporter periplasmic protein%3B ThiBPQ thiamine%2C thiamine pyrophosphate importer	b0068	thiB	thiamin transporter subunit (NCBI)	EG11574
BW25113_0069	CP009273.1	72131	73786	-	sgrR	CDS	14215	transcriptional DNA-binding transcriptional activator of sgrS sRNA	b0069	sgrR	DNA-binding transcriptional regulator (NCBI)	EG12094
BW25113_4577	CP009273.1	73854	74080	+	sgrS	ncRNA		sRNA antisense regulator destabilzes ptsG mRNA%2C Hfq-dependent%3B regulated by sgrR		sgrS	sRNA antisense regulator destabilzes ptsG mRNA%2C Hfq-dependent%3B regulated by sgrR	
BW25113_4662	CP009273.1	73875	74006	+	sgrT	CDS	7497338	inhibitor of glucose uptake	b4662	sgrT	Inhibitor of glucose uptake (RefSeq)	G0-10617
BW25113_0070	CP009273.1	74108	75286	+	setA	CDS	1936207	broad specificity sugar efflux system	b0070	setA	broad specificity sugar efflux system (NCBI)	EG11754
BW25113_0071	CP009273.1	75335	75940	-	leuD	CDS	14217	3-isopropylmalate dehydratase small subunit	b0071	leuD	isopropylmalate isomerase small subunit (NCBI)	EG11575
BW25113_0072	CP009273.1	75951	77351	-	leuC	CDS	14218	3-isopropylmalate dehydratase large subunit	b0072	leuC	isopropylmalate isomerase large subunit (NCBI)	EG11576
BW25113_0073	CP009273.1	77354	78445	-	leuB	CDS	14219	3-isopropylmalate dehydrogenase%2C NAD(+)-dependent	b0073	leuB	3-isopropylmalate dehydrogenase (VIMSS)	EG11577
BW25113_0074	CP009273.1	78445	80016	-	leuA	CDS	14220	2-isopropylmalate synthase	b0074	leuA	2-isopropylmalate synthase (NCBI)	EG11226
BW25113_0075	CP009273.1	80109	80195	-	leuL	CDS	14221	leu operon leader peptide	b0075	leuL	leu operon leader peptide (NCBI)	EG11280
BW25113_0076	CP009273.1	80855	81799	+	leuO	CDS	14222	global transcription factor	b0076	leuO	probable transcriptional activator for leuABCD operon (VIMSS)	EG10531
BW25113_0077	CP009273.1	82117	83841	+	ilvI	CDS	1936210	acetolactate synthase 3 large subunit	b0077	ilvI	acetolactate synthase III large subunit (NCBI)	EG10500
BW25113_0078	CP009273.1	83844	84335	+	ilvH	CDS	14224	acetolactate synthase 3%2C small subunit%2C valine-sensitive	b0078	ilvH	acetolactate synthase small subunit (NCBI)	EG10499
BW25113_0080	CP009273.1	84515	85519	+	cra	CDS	14226	transcriptional repressor-activator for carbon metabolism	b0080	cra	DNA-binding transcriptional dual regulator (NCBI)	EG10338
BW25113_0081	CP009273.1	86121	86579	+	mraZ	CDS	14227	RsmH methytransferase inhibitor	b0081	mraZ	hypothetical protein (NCBI)	EG11084
BW25113_0082	CP009273.1	86581	87522	+	rsmH	CDS	14228	16S rRNA m(4)C1402 methyltransferase%2C SAM-dependent	b0082	rsmH	S-adenosyl-methyltransferase (NCBI)	EG11085
BW25113_0083	CP009273.1	87519	87884	+	ftsL	CDS	14229	membrane bound cell division protein at septum containing leucine zipper motif	b0083	ftsL	membrane bound cell division protein at septum containing leucine zipper motif (NCBI)	EG11086
BW25113_0084	CP009273.1	87900	89666	+	ftsI	CDS	14230	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	b0084	ftsI	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3) (NCBI)	EG10341
BW25113_0085	CP009273.1	89653	91140	+	murE	CDS	14231	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase	b0085	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase (NCBI)	EG10621
BW25113_0086	CP009273.1	91137	92495	+	murF	CDS	14232	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase	b0086	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase (NCBI)	EG10622
BW25113_0087	CP009273.1	92489	93571	+	mraY	CDS	14233	phospho-N-acetylmuramoyl-pentapeptide transferase	b0087	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase (NCBI)	EG10604
BW25113_0088	CP009273.1	93574	94890	+	murD	CDS	14234	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	b0088	murD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamatesynthetase (NCBI)	EG10620
BW25113_0089	CP009273.1	94890	96134	+	ftsW	CDS	14235	lipid II flippase%3B integral membrane protein involved in stabilizing FstZ ring during cell division	b0089	ftsW	integral membrane protein involved in stabilizing FstZ ring during cell division (NCBI)	EG10344
BW25113_0090	CP009273.1	96131	97198	+	murG	CDS	14236	N-acetylglucosaminyl transferase	b0090	murG	N-acetylglucosaminyl transferase (NCBI)	EG10623
BW25113_0091	CP009273.1	97252	98727	+	murC	CDS	14237	UDP-N-acetylmuramate:L-alanine ligase	b0091	murC	UDP-N-acetylmuramate--L-alanine ligase (NCBI)	EG10619
BW25113_0092	CP009273.1	98720	99640	+	ddlB	CDS	14238	D-alanine:D-alanine ligase	b0092	ddlB	D-alanylalanine synthetase (NCBI)	EG10214
BW25113_0093	CP009273.1	99642	100472	+	ftsQ	CDS	14239	divisome assembly protein%2C membrane anchored protein involved in growth of wall at septum	b0093	ftsQ	membrane anchored protein involved in growth of wall at septum (NCBI)	EG10342
BW25113_0094	CP009273.1	100469	101731	+	ftsA	CDS	14240	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	b0094	ftsA	cell division protein (NCBI)	EG10339
BW25113_0095	CP009273.1	101792	102943	+	ftsZ	CDS	14241	GTP-binding tubulin-like cell division protein	b0095	ftsZ	cell division protein FtsZ (NCBI)	EG10347
BW25113_0096	CP009273.1	103044	103961	+	lpxC	CDS	14242	UDP-3-O-acyl N-acetylglucosamine deacetylase	b0096	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (NCBI)	EG10265
BW25113_0097	CP009273.1	104192	104704	+	secM	CDS	14243	regulator of secA translation	b0097	secM	orf, hypothetical protein (VIMSS)	EG11087
BW25113_0098	CP009273.1	104766	107471	+	secA	CDS	14244	preprotein translocase subunit%2C ATPase	b0098	secA	translocase (NCBI)	EG10936
BW25113_0099	CP009273.1	107531	107920	+	mutT	CDS	14245	nucleoside triphosphate pyrophosphohydrolase%2C marked preference for dGTP	b0099	mutT	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP (NCBI)	EG10626
BW25113_0101	CP009273.1	108136	108333	-	yacG	CDS	14247	DNA gyrase inhibitor	b0101	yacG	zinc-binding protein (NCBI)	EG12314
BW25113_0102	CP009273.1	108343	109086	-	zapD	CDS	14248	FtsZ stabilizer	b0102	zapD	hypothetical protein (NCBI)	EG12313
BW25113_0103	CP009273.1	109086	109706	-	coaE	CDS	14249	dephospho-CoA kinase	b0103	coaE	dephospho-CoA kinase (NCBI)	EG12312
BW25113_0104	CP009273.1	109931	110974	+	guaC	CDS	14250	GMP reductase	b0104	guaC	guanosine 5'-monophosphate oxidoreductase (NCBI)	EG10422
BW25113_0106	CP009273.1	111009	112211	-	hofC	CDS	14252	assembly protein in type IV pilin biogenesis%2C transmembrane protein	b0106	hofC	assembly protein in type IV pilin biogenesis, transmembrane protein (NCBI)	EG11798
BW25113_0107	CP009273.1	112201	113586	-	hofB	CDS	14253	T2SE secretion family protein%3B P-loop ATPase superfamily protein	b0107	hofB	conserved protein with nucleoside triphosphate hydrolase domain (NCBI)	EG12106
BW25113_0108	CP009273.1	113596	114036	-	ppdD	CDS	14254	putative prepilin peptidase-dependent pilin	b0108	ppdD	predicted major pilin subunit (NCBI)	EG12107
BW25113_0109	CP009273.1	114239	115132	-	nadC	CDS	14255	quinolinate phosphoribosyltransferase	b0109	nadC	nicotinate-nucleotide pyrophosphorylase (NCBI)	EG11546
BW25113_0110	CP009273.1	115220	115771	+	ampD	CDS	14256	1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase%2C Zn-dependent%3B murein amidase	b0110	ampD	N-acetyl-anhydromuranmyl-L-alanine amidase (NCBI)	EG10041
BW25113_0111	CP009273.1	115768	116622	+	ampE	CDS	14257	ampicillin resistance inner membrane protein%3B putative signaling protein in beta-lactamase regulation	b0111	ampE	predicted inner membrane protein (NCBI)	EG10042
BW25113_0112	CP009273.1	116665	118038	-	aroP	CDS	14258	aromatic amino acid transporter	b0112	aroP	aromatic amino acid transporter (NCBI)	EG10084
BW25113_0113	CP009273.1	118579	119343	+	pdhR	CDS	14259	pyruvate dehydrogenase complex repressor%3B autorepressor	b0113	pdhR	transcriptional regulator of pyruvate dehydrogenase complex (NCBI)	EG11088
BW25113_0114	CP009273.1	119504	122167	+	aceE	CDS	14260	pyruvate dehydrogenase%2C decarboxylase component E1%2C thiamine triphosphate-binding	b0114	aceE	pyruvate dehydrogenase subunit E1 (NCBI)	EG10024
BW25113_0115	CP009273.1	122182	124074	+	aceF	CDS	14261	pyruvate dehydrogenase%2C dihydrolipoyltransacetylase component E2	b0115	aceF	dihydrolipoamide acetyltransferase (NCBI)	EG10025
BW25113_0116	CP009273.1	124399	125823	+	lpd	CDS	14262	lipoamide dehydrogenase%2C E3 component is part of three enzyme complexes	b0116	lpd	dihydrolipoamide dehydrogenase (NCBI)	EG10543
BW25113_0117	CP009273.1	125894	127747	-	yacH	CDS	14263	uncharacterized protein	b0117	yacH	hypothetical protein (NCBI)	EG12315
BW25113_0118	CP009273.1	128102	130699	+	acnB	CDS	14264	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	b0118	acnB	aconitate hydratase (NCBI)	EG12316
BW25113_0119	CP009273.1	130875	131237	+	yacL	CDS	14265	UPF0231 family protein	b0119	yacL	orf, hypothetical protein (VIMSS)	EG12605
BW25113_0120	CP009273.1	131275	132069	-	speD	CDS	14266	S-adenosylmethionine decarboxylase	b0120	speD	S-adenosylmethionine decarboxylase proenzyme (NCBI)	EG10962
BW25113_0121	CP009273.1	132085	132951	-	speE	CDS	14267	spermidine synthase (putrescine aminopropyltransferase)	b0121	speE	spermidine synthase (NCBI)	EG10963
BW25113_0122	CP009273.1	133057	133404	-	yacC	CDS	14268	PulS_OutS family protein	b0122	yacC	orf, hypothetical protein (VIMSS)	EG11089
BW25113_0123	CP009273.1	133570	135120	+	cueO	CDS	14269	multicopper oxidase (laccase)	b0123	cueO	multicopper oxidase (laccase) (NCBI)	EG12318
BW25113_0124	CP009273.1	135322	137712	-	gcd	CDS	14270	glucose dehydrogenase	b0124	gcd	glucose dehydrogenase (NCBI)	EG10369
BW25113_0125	CP009273.1	137918	138454	+	hpt	CDS	14271	hypoxanthine phosphoribosyltransferase	b0125	hpt	hypoxanthine phosphoribosyltransferase (VIMSS)	EG20098
BW25113_0126	CP009273.1	138495	139157	-	can	CDS	14272	carbonic anhydrase	b0126	can	carbonic anhydrase (NCBI)	EG12319
BW25113_0127	CP009273.1	139266	140192	+	yadG	CDS	14273	putative ABC superfamily transporter ATP-binding subunit	b0127	yadG	predicted transporter subunit: ATP-binding component of ABC superfamily (NCBI)	EG12320
BW25113_0128	CP009273.1	140189	140959	+	yadH	CDS	14274	inner membrane putative ABC superfamily transporter permease	b0128	yadH	predicted transporter subunit: membrane component of ABC superfamily (NCBI)	EG12321
BW25113_0129	CP009273.1	141064	141504	+	yadI	CDS	14275	putative PTS Enzyme IIA	b0129	yadI	predicted PTS Enzyme IIA (NCBI)	EG12322
BW25113_0130	CP009273.1	141568	142797	+	yadE	CDS	14276	putative polysaccharide deacetylase lipoprotein	b0130	yadE	predicted polysaccharide deacetylase lipoprotein (NCBI)	EG11749
BW25113_0131	CP009273.1	142801	143181	-	panD	CDS	14277	aspartate 1-decarboxylase	b0131	panD	aspartate 1-decarboxylase precursor (NCBI)	EG11747
BW25113_0132	CP009273.1	143455	144357	+	yadD	CDS	14278	transposase_31 family protein	b0132	rpnC	predicted transposase (NCBI)	EG11748
BW25113_0133	CP009273.1	144431	145282	-	panC	CDS	14279	pantothenate synthetase	b0133	panC	pantoate--beta-alanine ligase (NCBI)	EG11746
BW25113_0134	CP009273.1	145294	146088	-	panB	CDS	14280	3-methyl-2-oxobutanoate hydroxymethyltransferase	b0134	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase (NCBI)	EG11675
BW25113_0135	CP009273.1	146202	147440	-	yadC	CDS	14281	putative fimbrial-like adhesin protein	b0135	yadC	predicted fimbrial-like adhesin protein (NCBI)	EG11678
BW25113_0136	CP009273.1	147490	148086	-	yadK	CDS	14282	putative fimbrial-like adhesin protein	b0136	yadK	predicted fimbrial-like adhesin protein (NCBI)	EG12325
BW25113_0137	CP009273.1	148113	148718	-	yadL	CDS	14283	putative fimbrial-like adhesin protein	b0137	yadL	predicted fimbrial-like adhesin protein (NCBI)	EG12326
BW25113_0138	CP009273.1	148730	149299	-	yadM	CDS	14284	putative fimbrial-like adhesin protein	b0138	yadM	putative fimbrial-like protein (VIMSS)	EG12327
BW25113_0139	CP009273.1	149316	151913	-	htrE	CDS	14285	putative outer membrane usher protein	b0139	htrE	predicted outer membrane usher protein (NCBI)	EG11972
BW25113_0140	CP009273.1	151948	152688	-	yadV	CDS	14286	putative periplasmic pilin chaperone	b0140	yadV	predicted periplasmic pilin chaperone (NCBI)	EG11973
BW25113_0141	CP009273.1	152786	153370	-	yadN	CDS	14287	putative fimbrial-like adhesin protein	b0141	yadN	predicted fimbrial-like adhesin protein (NCBI)	EG12328
BW25113_0142	CP009273.1	153740	154219	-	folK	CDS	14288	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	b0142	folK	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase (NCBI)	EG11374
BW25113_0143	CP009273.1	154216	155613	-	pcnB	CDS	14289	poly(A) polymerase	b0143	pcnB	poly(A) polymerase I (VIMSS)	EG10690
BW25113_0144	CP009273.1	155673	156599	-	gluQ	CDS	14290	glutamyl-Q tRNA(Asp) synthetase	b0144	gluQ	glutamyl-Q tRNA(Asp) synthetase (RefSeq)	EG11362
BW25113_0145	CP009273.1	156636	157091	-	dksA	CDS	14291	transcriptional regulator of rRNA transcription%2C DnaK suppressor protein	b0145	dksA	DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein (NCBI)	EG10230
BW25113_0146	CP009273.1	157269	157973	-	sfsA	CDS	14292	sugar fermentation stimulation protein A	b0146	sfsA	sugar fermentation stimulation protein A (NCBI)	EG10949
BW25113_0147	CP009273.1	157988	158518	-	ligT	CDS	14293	2'-5' RNA ligase	b0147	thpR	orf, hypothetical protein (VIMSS)	EG12330
BW25113_0148	CP009273.1	158592	161021	+	hrpB	CDS	14294	putative ATP-dependent helicase	b0148	hrpB	helicase, ATP-dependent (VIMSS)	EG12329
BW25113_0149	CP009273.1	161217	163751	+	mrcB	CDS	14295	fused glycosyl transferase and transpeptidase	b0149	mrcB	penicillin-binding protein 1b (NCBI)	EG10605
BW25113_0150	CP009273.1	163971	166214	+	fhuA	CDS	14296	ferrichrome outer membrane transporter	b0150	fhuA	ferrichrome outer membrane transporter (NCBI)	EG10302
BW25113_0151	CP009273.1	166265	167062	+	fhuC	CDS	14297	iron-hydroxamate transporter subunit	b0151	fhuC	iron-hydroxamate transporter subunit (NCBI)	EG10304
BW25113_0152	CP009273.1	167062	167952	+	fhuD	CDS	14298	iron-hydroxamate transporter subunit	b0152	fhuD	iron-hydroxamate transporter subunit (NCBI)	EG10305
BW25113_0153	CP009273.1	167949	169931	+	fhuB	CDS	14299	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components	b0153	fhuB	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components (NCBI)	EG10303
BW25113_0154	CP009273.1	170089	171369	-	hemL	CDS	14300	glutamate-1-semialdehyde aminotransferase (aminomutase)	b0154	hemL	glutamate-1-semialdehyde aminotransferase (NCBI)	EG10432
BW25113_0155	CP009273.1	171594	173015	+	clcA	CDS	14301	H(+)/Cl(-) exchange transporter	b0155	clcA	chloride channel protein (NCBI)	EG12331
BW25113_0156	CP009273.1	173097	173441	+	erpA	CDS	14302	iron-sulfur cluster insertion protein	b0156	erpA	hypothetical protein (NCBI)	EG12332
